"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"1",1,0.7874118,0.9501536,0.03851368,0.008523485,0.1591838,0.2000005,0.2159136,0.967863,0.1750754,0.71399,0.2219794,0.5542066,0.01885954,0.4411954,0.8924277,0.3386798,0.5241728,0.5158336,0.8444056,0.005485958,0.874972,0.06681175,0.09852383,0.5151972,0.2800102,0.7781711,0.3893397,0.975169,0.3883205,0.3909242,0.9418661,0.08987615,0.1298801,0.2147216,0.7081275,0.1430984,0.293756,0.4131604,0.6199939,0.7449186,0.1913227,0.8159641,0.8952371,0.5558536,0.9685595,0.2935595,0.2596547,0.1712421,0.1900202,0.8042558,0.8655546,0.1530786,0.5832808,0.1019694,0.9694095,0.4107025,0.4495654,0.4544865,0.06785118,0.8954476,0.204473,0.1136712,0.7763432,0.7037506,0.1082968,0.1553832,0.01717064,0.07570566,0.463485,0.3875812,0.4623186,0.6834432,0.1133489,0.9682564,0.3764991,0.3311606,0.3324447,0.1007933,0.01225445,0.6934285,0.4611561,0.6092384,0.9569121,0.2664128,0.2768731,0.1593497,0.03821219,0.902654,0.2194714,0.1961168,0.0809441,0.5693752,0.0399392,0.5418446,0.702745,0.04174762,0.5203696,0.5378635,0.7061499,0.4704361,0.4974854,0.06267884,0.8748905,0.2035505,0.6395612,0.9511455,0.2524957,0.9019891,0.2920358,0.3043404,0.05215436,0.3219422,0.657488,0.4692221,0.4590178,0.3566872,0.6233831,0.6261323,0.3745334,0.4459354,0.2192194,0.3199365,0.3358265,0.8875153,0.521063,0.8263172,0.0670229,0.004984644,0.3286501
"2",0.8281992,1,0.2509915,0.7261623,0.008743789,0.263951,0.7311108,0.4671002,0.04537616,0.478169,0.1082721,0.04191744,0.03849925,0.2019787,0.8330439,0.3805074,0.05094715,0.5496053,0.5060795,0.04829296,0.5019947,0.8503659,0.08351388,0.7023848,0.3489766,0.4076214,0.6512728,0.01167869,0.7981754,0.08873425,0.3128014,0.121874,0.3807784,0.01407493,0.9062427,0.1490305,0.7114469,0.04812293,0.04547328,0.8620866,0.04256773,0.04315288,0.9183744,0.5534359,0.4832412,0.4889367,0.8827863,0.04825853,0.6838724,0.230212,0.4345726,0.7542404,0.4270862,0.4217321,0.8039764,0.2273398,0.3587906,0.2406054,0.6955621,0.6015187,0.4072487,0.4411482,0.6825303,0.2380252,0.3260977,0.07051115,0.05537093,0.1249943,0.04494474,0.9156658,0.005033633,0.7538906,0.5403402,0.9940962,0.04090617,0.3739692,0.8736973,0.3050875,0.4627323,0.06759537,0.2732607,0.7553158,0.9864776,0.9148082,0.3728104,0.08720174,0.2919885,0.1082713,0.1091314,0.04576979,0.4511955,0.2403852,0.8211832,0.01026585,0.7788344,0.656042,0.3801456,0.1318242,0.6345127,0.2149932,0.8057936,0.1326376,0.1812561,0.09086202,0.1398832,0.01762547,0.02481694,0.9254485,0.7873977,0.00672848,0.3719515,0.8708259,0.07611841,0.5315862,0.9787764,0.795383,0.4725706,0.8756626,0.5088454,0.9230479,0.02940374,0.1933802,1.384138e-05,0.3491708,0.06812815,0.216177,0.4683298,9.189239e-07,0.02897816,0.04817523
"3",0.05187008,0.9918667,1,0.0007948016,0.07210911,0.5951896,0.8767301,0.09995716,0.008816654,0.3637789,0.6773964,0.0396888,0.4248755,0.6376911,0.2390631,0.02599988,0.2802578,0.902465,0.8775931,0.2370594,0.381505,0.1719943,0.02023287,0.645308,0.08183055,0.7885973,0.00425962,0.2642614,0.3929792,0.1896336,0.7356848,0.69442,0.3510215,0.1562693,0.2745072,0.3306176,0.1474198,0.5192769,0.05943263,0.826195,0.1123944,0.3368025,0.2385791,0.563312,0.9858851,0.01681163,0.8325513,0.007144302,0.3967755,0.1147636,0.1714765,0.5915227,0.6199725,0.1492898,0.08658412,0.8136092,0.2758848,0.569564,0.5479563,0.064618,0.4956612,0.3181083,0.1844382,0.8676552,0.7445287,0.01900775,0.4722671,0.05900072,0.4295587,0.9624102,0.9946995,0.5239052,0.6403616,0.003457839,0.9243305,0.7137939,0.5463482,0.3738893,0.8670849,0.1559721,0.3429898,0.4334073,0.2347839,0.9054863,0.099733,0.7892051,0.06405695,0.1670183,0.7087723,0.8151112,0.04776807,0.004616518,0.9411271,0.08533966,0.3365711,0.02298086,0.3069632,3.042056e-09,0.266831,0.5907039,0.1483234,0.5443883,0.7507677,0.08404832,0.5681363,0.4812777,0.0480998,0.001487914,0.2525528,0.2360418,0.8653299,0.6810568,0.5152664,0.1964598,0.02808575,0.6786022,0.6112607,0.7811545,0.9986666,0.02183579,0.2489134,0.8304892,0.9500577,0.03772833,0.6798041,0.8314015,0.758866,0.3793311,0.7972439,0.7150351
"4",0.9809446,0.6351589,0.08668329,1,0.4113519,0.9234721,0.9108988,0.3510214,0.002184111,0.2446156,0.1285192,0.02247561,0.6868521,0.7755918,0.5989,0.3397207,0.008459173,0.08444813,0.7880799,0.5270533,0.1281311,0.1228537,0.838928,0.1403606,0.8431238,0.7409769,0.4630093,0.9251328,0.8714181,0.3332241,0.723845,0.9253968,0.7345142,0.1552323,0.3784943,0.7984072,0.9905489,0.6432092,0.3674693,0.920795,0.7272461,0.8302236,0.6252722,0.8143128,0.3282605,0.3344678,0.8768519,0.5156734,0.04326889,0.9205923,0.3055956,0.4581535,0.5710593,0.001223017,0.4381364,0.7092186,0.3973,0.5927275,0.5661576,0.4458234,0.1788462,0.8364977,0.6576051,0.4012315,0.5861833,0.2681956,0.5846775,0.7786485,0.3285853,0.285198,0.4325204,0.8013454,0.4240444,0.1445947,0.3815301,0.4600388,0.5282883,0.6399621,0.01268957,0.5230283,0.7149163,0.09662399,0.1404501,0.3326743,0.3585842,0.5726603,0.4574883,0.7695634,0.7996833,0.05953415,0.5245084,0.2060719,0.9810412,0.8930828,0.5992913,0.6009944,0.3290298,0.658311,0.7659323,0.5072334,0.5367573,0.4045953,0.9661647,0.3553635,0.1235331,0.4353655,0.4368727,0.394908,0.9873982,0.4473133,0.1027558,0.8445643,0.7901725,0.7413013,0.1866144,0.002095884,0.1968385,0.3465973,0.7379561,0.1145534,0.7900944,0.09140157,0.9942858,0.0208652,0.07466638,0.9677527,0.1225106,0.103158,0.08076983,0.4633167
"5",0.5323294,0.273464,0.1605572,0.349172,1,0.8295257,0.5498161,0.6682862,0.2260349,0.2476509,0.6874434,0.5029396,0.09320835,0.1906148,0.2578888,0.09316339,0.5824905,0.4935404,0.7625318,0.1918025,0.007722127,0.7642269,0.671501,0.9830206,0.2483484,0.4337311,0.904251,0.8748455,0.3074873,0.0009374196,0.1954316,0.04388038,0.7375784,0.6595828,0.2944083,0.0225874,0.6230223,0.02144721,0.2512346,0.3128706,0.4210265,0.3041199,0.02382815,0.4079294,0.1602177,0.2700194,0.007935531,0.03736114,0.1948463,0.3455149,0.3134299,0.5009389,0.6042588,0.07554787,0.2916205,0.4862732,0.8374497,0.5538678,0.192869,0.08246905,0.7086083,0.255382,0.02114885,0.5242946,0.506556,0.2531336,0.07258591,0.02598125,0.2152187,0.2042757,0.01028378,0.001278866,0.6651056,0.002905009,0.6172422,0.31286,0.2517766,0.007562652,0.5935901,0.2377281,0.07793312,0.1357853,0.2181437,0.8501486,0.7237313,0.7738468,0.02600547,0.4706487,0.5539125,0.006602563,0.01811862,0.2859595,0.05999723,0.3772794,0.06781074,0.1131566,0.8706914,0.9910318,0.6799484,0.3375832,0.6343978,0.5061856,0.3162568,0.0008741912,0.2945334,0.1950102,0.3944749,0.9983144,0.4243089,0.4140181,0.7234429,0.7588075,0.3550332,0.07678881,0.343967,0.8599677,0.3417522,0.469468,0.002798671,0.8570049,0.5586855,0.4393778,0.0008128708,0.005999863,0.02430874,0.3090694,0.4696251,0.5657704,0.01348217,0.2423366
"6",0.3948639,0.2721015,0.08485292,0.2343969,0.1350076,1,0.4067219,0.3340588,0.8699309,0.2731417,0.8303365,0.845547,0.04381347,0.117741,0.7295092,0.7623866,0.0005602577,0.2897688,0.4032641,0.5283646,0.03147691,0.04491472,0.5803261,0.3784045,0.5987305,0.03203809,0.6743249,0.2197443,0.314236,0.2865936,0.0917779,0.002515372,0.5453164,0.0004819978,0.2117132,0.3434123,0.003109596,0.0356245,0.02221013,0.1706069,0.8325557,0.4037148,0.2350321,0.2553661,0.3301848,0.7566204,0.05046748,0.7101645,0.07562419,0.9439372,0.4064966,0.1061893,0.7739712,0.1631083,0.3906614,0.9882648,0.6413805,0.770642,0.3010798,0.5088929,0.0713849,0.2731028,0.1501762,0.0906479,0.8061059,0.127302,0.1837692,0.5550168,0.002031473,0.7666655,0.1367988,0.01076007,0.7363922,0.1720384,0.6490313,0.02911094,0.7964535,0.5033931,0.1370246,0.1461791,0.6389343,0.005790875,0.2565123,0.308068,0.2023264,0.5068773,0.348749,0.05579278,0.4701505,0.991908,0.1739296,0.03169367,0.6917003,0.01002152,0.1289008,0.8935289,0.3670954,0.5377259,0.06317793,0.05049026,0.3396446,0.02223134,0.03152484,0.06299481,0.02095568,0.6087799,0.603919,0.4296607,0.06922859,0.2252255,0.7504057,0.02721519,0.05307549,0.04478255,0.184936,0.9564021,0.03062498,0.0009083399,0.006675578,0.8069384,0.5620045,0.1307784,0.89435,0.201542,0.6325051,0.109257,0.03474313,0.4802788,0.9220569,0.7233838
"7",0.141443,0.1327418,0.1983653,0.0680507,0.3133002,0.1717584,1,0.499372,0.1779765,0.6744357,0.3247008,0.3115807,0.6883215,0.3000235,0.6593854,0.07672158,0.1482966,0.9690439,0.02588156,0.7801015,0.0008503461,0.0410373,0.2937049,0.9240459,0.06141943,0.9435716,0.08790507,0.8274677,0.2401772,0.03356366,0.05274837,0.5808894,0.1008974,0.1486559,0.2429846,0.2614446,0.1576476,0.4428604,0.4939114,0.3924837,0.8857973,0.1963041,0.6026442,0.2110711,0.9685081,0.07133847,0.08839972,0.004222476,0.5959595,0.2506223,0.4876164,0.8284469,0.7114002,0.6921893,0.1663026,0.9306668,0.6686562,0.2938621,0.466385,0.5803381,0.7888491,0.526027,0.4403384,0.7547702,0.8782385,0.1432302,0.1978949,0.04541243,0.6144511,0.1578075,0.06083836,0.04920388,0.8171321,0.7908569,0.7620303,0.3783896,0.5981915,0.0894175,0.5683026,0.6488985,0.06042915,0.09632197,0.816327,0.06550107,0.4588516,0.8574406,0.8709714,0.1105974,0.622432,0.02179089,0.9598189,0.8038881,0.7529437,0.1604464,0.4695207,0.8047808,0.6178041,0.4216179,0.4775813,0.8110127,0.8602152,0.2258407,0.3353503,0.6221575,0.2448171,0.593821,0.5456734,0.6393521,0.4022331,0.9796892,0.1234525,0.6542938,0.7611813,0.4402657,0.6097461,0.4587727,0.1454147,0.6426346,0.8627152,0.01221006,0.3590412,0.7104958,0.5392074,0.3629367,0.4932155,0.5072056,0.1892123,0.02511187,0.1900293,0.6820797
"8",0.2103194,0.8569554,0.2307385,0.2629578,0.1951096,0.0943797,0.4675657,1,0.01585792,0.006522875,0.001149998,0.1710113,0.3795155,0.8471642,0.1122852,0.06516589,0.02600509,0.7728767,0.01068673,0.4715716,0.9234456,0.08095267,0.3391607,0.7634354,0.1680574,0.7883232,0.06850684,0.07274004,0.8247233,0.465694,0.2116073,0.4679926,0.6507965,0.02908076,0.1852583,0.7596618,0.7959952,0.05381383,0.1828586,0.02988995,0.355137,0.9042338,0.2389524,0.4629399,0.6946845,0.07287488,0.2143703,0.3783749,0.3005476,0.6553692,0.4220335,0.353969,0.2800832,0.5150699,0.1542004,0.4327711,0.2330918,0.03319092,0.712181,0.5383086,0.2270137,0.1099877,0.09504689,0.05781201,0.0171983,0.2019603,0.08918553,0.1183736,0.8324849,0.6166826,0.8014644,0.4703498,0.2036502,0.1084871,0.9344913,0.2722724,0.4208123,0.5338658,0.0316386,0.2950793,0.3462659,0.3210123,0.1445385,0.7956802,0.4052536,0.07461222,0.5098046,0.9187103,0.1672898,0.1800659,0.9751447,0.3472867,0.1766792,0.2000614,0.03269436,0.9776177,0.06595287,0.2227067,0.7206605,0.01860914,0.9958898,0.03847368,0.145319,0.1519795,0.004176381,0.02381969,0.07034484,0.07297165,0.2446293,0.6198636,0.8535995,0.7010982,0.916619,0.5835823,0.3097808,0.5309818,5.216439e-05,0.3406779,0.1724429,0.5876907,0.06112033,0.7442021,0.08723955,0.2255536,0.008534221,0.02607344,0.5235875,0.7891599,0.9101493,0.02146823
"9",0.9605919,0.4568544,0.2919637,0.07893589,0.0003481806,0.3863131,0.07532432,0.5807476,1,0.1824892,0.2394467,0.1434693,0.7044295,0.5246425,0.4253825,0.1730604,0.7213539,0.5695035,0.5510257,0.9969945,0.1536888,0.9463114,0.5957469,0.1499768,0.3473588,0.7899724,0.05421266,0.2942377,0.678348,0.02943358,0.08128472,0.1486339,0.3117557,0.6162556,0.123323,0.2233033,0.4033152,0.04704316,0.1706853,0.06146205,0.321908,0.1271733,0.577138,0.9629294,0.2721647,0.2535299,0.5999253,0.233825,0.8357764,0.2783337,0.9398078,0.4386772,0.7841651,0.07868705,0.9341607,0.4324689,0.02136746,0.1130413,0.4262912,0.8624168,0.6305603,0.8479285,0.1376601,0.3606096,0.9894761,0.5907091,0.2497727,0.1358326,0.5040923,0.9710729,0.1448454,0.8441492,0.03422968,0.03787924,0.8208989,0.7752359,0.03919846,0.1791001,0.01217524,0.3219491,0.9713603,0.4887995,0.07002122,0.761514,0.00458796,0.8594457,0.2730396,0.9844772,0.8121488,0.7037186,0.03714181,0.03577825,0.9773005,0.04847206,0.05730164,0.8863533,0.4064905,0.7016996,0.2727441,0.02862382,0.5226448,0.5826414,0.7900085,0.1790204,0.4040463,0.3484804,0.5354009,0.4289544,0.4631071,0.4225026,0.8046352,0.6746762,0.6553333,0.3367934,0.2044764,0.1976766,0.7316032,0.6703954,0.2819654,0.9960962,0.9877307,0.6811796,0.4043819,0.0001502425,0.5494253,0.7882583,0.654343,0.0404447,0.6987386,0.3048483
"10",0.5164298,0.1747724,0.3961181,0.173284,0.09419357,0.567863,0.462077,0.5332136,0.6224894,1,0.6365281,0.8419156,0.03275801,0.3953674,0.4259826,0.07334019,5.431573e-05,1.228584e-06,0.1123581,0.09902927,0.02587506,0.09106329,0.04285249,0.4231485,0.363492,0.0001955254,0.01881914,0.01537332,9.344609e-07,0.003318215,0.1302085,0.3404724,0.1092529,0.1786035,7.178464e-08,0.9553336,0.06506941,0.1645722,1.197301e-07,0.2766524,0.01298905,0.3406732,0.04856688,0.1575927,3.835942e-05,0.02751221,0.003342737,0.3172266,0.1127988,0.1147341,0.08503422,0.5696643,0.4572417,0.3079546,0.2276328,0.6098725,0.3518628,0.8503058,0.000259844,0.1783376,0.7835464,0.1616171,0.0003546214,0.01517494,0.2670898,0.00148881,0.09322293,0.2423701,0.0160476,0.7882581,0.08409355,6.463087e-05,0.05195693,5.713256e-06,0.6987062,0.01989295,0.2332525,0.4564282,0.8558599,0.7610641,0.1377209,0.7481149,0.001033613,0.01411043,0.8861259,0.2193915,0.0005409322,0.2682017,0.001900648,0.02183698,0.281457,0.0004476147,0.04354805,0.1316385,0.002209852,0.41266,0.9047085,0.2454583,0.4530323,0.7437335,0.1911896,0.2692129,0.002117253,0.151506,0.003922478,0.5524113,0.04184751,0.3160504,0.001616211,3.008456e-07,0.6187431,0.008793445,0.2405474,0.001518817,0.7059866,0.3906452,0.01779775,0.250782,0.02596954,0.3726669,0.4235151,0.2211782,0.7907597,0.02815377,0.009362852,0.1203808,0.2087825,0.04303644,0.3739845,0.01593183
